type,name,label::English (en),hint::English (en),required,appearance,constraint_message,relevant,constraint,body::accept,guidance_hint
decimal,NcUpper_pop5,"If available, which is the UPPER limit of the Nc confidence interval for population 5?","This should be the upper value of the 95% Confidence Interval. If that is unavailable, please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the upper Nc limit can't be negative and has to be larger than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop5} != '',(. = -999 or. > 0) and (. = -999 or . > ${NcPoint_pop5}),,
text,SourceNc_pop5,"Please list all relevant sources of census size information (literature reference, website link, expert consultation) for THIS population",Please separate sources using a semicolon (;),true,multiline,,${nc_pops_exists} = 'yes' and ${NcType_pop5} != 'unknown',,,
text,Comments_pop5,Any additional comments or notes regarding the information that has been provided or why it could not be for population 5?,,false,,,${n_extant_populations} >= 5,,,
end_group,,,,,,,,,,
begin_group,pop6,Population 6,,false,,,(${kobo_tabular} = 'kobo' and ${kobo_tabular} != 'tabular') or ${kobo_tabular} = '' and ${n_extant_populations} >= 6,,,
text,Name_pop6,Population 6 name,"If a name has not been assigned to this population in literature, please provide your own unique name here.",true,,,${n_extant_populations} >= 6,,,
select_one vw6md17,Origin_pop6,What is the origin of population 6?,"You can provide details in the comments section for this population, if needed.",false,,,${n_extant_populations} >= 6,,,
text,IntroductionYear_pop6,"When was the population introduced, translocated, re-introduced or re-inforced?",,false,,,${Origin_pop6} = 'introduced' or ${Origin_pop6} = 'reintroduced' or ${Origin_pop6} = 'supplemented',,,
decimal,Ne_pop6,What is the effective population size (Ne) for population 6? (POINT ESTIMATE),"If you have a confidence interval include it in next questions. If Ne is not known for this population, type -999",true,,"the Ne can't be negative, and only -999 is accepted if the Ne is not avilable (NA)",${ne_pops_exists} = 'ne_available',. = -999 or . > 0,,
decimal,NeLower_pop6,"If available, which is the lower limit of the Ne confidence interval for population 6?","If not available, type -999",false,,Ne lower bound can't be negative and has to be lower than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop6} != -999 and ${Ne_pop6} != '',(. = -999  or . > 0) and . <= ${Ne_pop6},,
decimal,NeUpper_pop6,"If available, which is the upper limit of the Ne confidence interval for population 6?","If not available, type -999. If infinite, type 999 999 999",false,,Ne upper bound can't be negative and has to be larger than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop6} != -999 and ${Ne_pop6} != '',(. = -999 or . > 0) and (. = -999 or . >= ${Ne_pop6} ),,"If the Ne estimate is infinity please use ""999,999,999"" (make sure you use 9 times the number 9)."
text,NeYear_pop6,In what year was the data used to estimate Ne collected for population 6?,"Please state the year when the sampling was done, not when it was published.",true,,,${Ne_pop6} != -999 and ${Ne_pop6} != '',,,
select_one dp0ro30,GeneticMarkers_pop6,What genetic markers were used to estimate Ne for THIS population?,,true,,,${Ne_pop6} != -999 and ${Ne_pop6} != '',,,
text,GeneticMarkersOther_pop6,"If 'Other', please explain.",,false,,,${GeneticMarkers_pop6} = 'other',,,
select_one ry7lu40,MethodNe_pop6,What method was used in calculating Ne for THIS population?,,true,,,${Ne_pop6} != -999 and ${Ne_pop6} != '',,,
text,SourceNe_pop6,Please list all relevant sources reporting on effective population size for THIS population,Please separate each source using a semicolon (;).,true,multiline,,${Ne_pop6} != -999 and ${Ne_pop6} != '',,,
select_one tw2mv60,transboundary_pop6,Is THIS population part of a transboundary population?,"Transboundary refers to its existence in one or more countries, moving across oceans, being migratory, etc.",false,,,${n_extant_populations} >= 6 and ${nc_pops_exists} = 'yes',,,
integer,percent_pop6,What percentage of THIS population is in South Africa?,Please record a number between 0-100 (use whole numbers). Enter -999 if the percentage is unknown and cannot be estimated.,false,,,${transboundary_pop6} = 'yes_transboundary',,,
select_one wt5id91,whole_or_part_pop6,"Is the census size estimated for the population as a whole (i.e., across all transboundary countries) or only for the portion within South Africa?",,false,,,${transboundary_pop6} = 'yes_transboundary',,,
select_one uz6tk65,NcType_pop6,"If there is a census population size (Nc) available, is this a range or point estimate?",,true,,,${nc_pops_exists} = 'yes',,,
text,NcYear_pop6,In what year was the Nc estimated for population 6?,"Please state the year when the sampling was done, not when it was published",false,,,${NcType_pop6} != 'unknown',,,
select_one ed5dt93,NcMethod_pop6,How was Nc calculated in THIS population?,,true,,,${nc_pops_exists} = 'yes' and ${NcType_pop6} != 'unknown',,,
select_one gn04r19,NcRange_pop6,Whats the range of the Nc for population 6?,,true,,,${NcType_pop6} = 'Nc_range',,,
text,NcRangeDetails_pop6,If a more detailed range is available please enter it here.,,false,,,${NcRange_pop6} != '' or ${NcType_pop6} = 'Nc_range',,,
integer,NcPoint_pop6,"If known, what is the census population size (Nc) for population 6? (POINT ESTIMATE)",If you have a confidence interval include it in next questions.,true,,"the Nc can't be negative, and only -999 is accepted if the Nc is not avilable (NA)",${NcType_pop6} = 'Nc_point',. = -999 or . > 0,,
decimal,NcLower_pop6,"If available, which is the LOWER limit of the Nc confidence interval for population 6?","This should be the lower value of the 95% Confidence Interval. If that is unavailable, leave this question blank and please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the lower Nc limit can't be negative and has to be lower than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop6} != '',(. = -999 or . > 0) and . < ${NcPoint_pop6},,
decimal,NcUpper_pop6,"If available, which is the UPPER limit of the Nc confidence interval for population 6?","This should be the upper value of the 95% Confidence Interval. If that is unavailable, please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the upper Nc limit can't be negative and has to be larger than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop6} != '',(. = -999 or. > 0) and (. = -999 or . > ${NcPoint_pop6}),,
text,SourceNc_pop6,"Please list all relevant sources of census size information (literature reference, website link, expert consultation) for THIS population",Please separate sources using a semicolon (;),true,multiline,,${nc_pops_exists} = 'yes' and ${NcType_pop6} != 'unknown',,,
text,Comments_pop6,Any additional comments or notes regarding the information that has been provided or why it could not be for population 6?,,false,,,${n_extant_populations} >= 6,,,
end_group,,,,,,,,,,
begin_group,pop7,Population 7,,false,,,(${kobo_tabular} = 'kobo' and ${kobo_tabular} != 'tabular') or ${kobo_tabular} = '' and ${n_extant_populations} >= 7,,,
text,Name_pop7,Population 7 name,"If a name has not been assigned to this population in literature, please provide your own unique name here.",true,,,${n_extant_populations} >= 7,,,
select_one vw6md17,Origin_pop7,What is the origin of population 7?,"You can provide details in the comments section for this population, if needed.",false,,,${n_extant_populations} >= 7,,,
text,IntroductionYear_pop7,"When was the population introduced, translocated, re-introduced or re-inforced?",,false,,,${Origin_pop7} = 'introduced' or ${Origin_pop7} = 'reintroduced' or ${Origin_pop7} = 'supplemented',,,
decimal,Ne_pop7,What is the effective population size (Ne) for population 7? (POINT ESTIMATE),"If you have a confidence interval include it in next questions. If Ne is not known for this population, type -999",true,,"the Ne can't be negative, and only -999 is accepted if the Ne is not avilable (NA)",${ne_pops_exists} = 'ne_available',. = -999 or . > 0,,
decimal,NeLower_pop7,"If available, which is the lower limit of the Ne confidence interval for population 7?","If not available, type -999",false,,Ne lower bound can't be negative and has to be lower than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop7} != -999 and ${Ne_pop7} != '',(. = -999  or . > 0) and . <= ${Ne_pop7},,
decimal,NeUpper_pop7,"If available, which is the upper limit of the Ne confidence interval for population 7?","If not available, type -999. If infinite, type 999 999 999",false,,Ne upper bound can't be negative and has to be larger than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop7} != -999 and ${Ne_pop7} != '',(. = -999 or . > 0) and (. = -999 or . >= ${Ne_pop7} ),,"If the Ne estimate is infinity please use ""999,999,999"" (make sure you use 9 times the number 9)."
text,NeYear_pop7,In what year was the data used to estimate Ne collected for population 7?,"Please state the year when the sampling was done, not when it was published.",true,,,${Ne_pop7} != -999 and ${Ne_pop7} != '',,,
select_one dp0ro30,GeneticMarkers_pop7,What genetic markers were used to estimate Ne for THIS population?,,true,,,${Ne_pop7} != -999 and ${Ne_pop7} != '',,,
text,GeneticMarkersOther_pop7,"If 'Other', please explain.",,false,,,${GeneticMarkers_pop7} = 'other',,,
select_one ry7lu40,MethodNe_pop7,What method was used in calculating Ne for THIS population?,,true,,,${Ne_pop7} != -999 and ${Ne_pop7} != '',,,
text,SourceNe_pop7,Please list all relevant sources reporting on effective population size for THIS population,Please separate each source using a semicolon (;).,true,multiline,,${Ne_pop7} != -999 and ${Ne_pop7} != '',,,
select_one tw2mv60,transboundary_pop7,Is THIS population part of a transboundary population?,"Transboundary refers to its existence in one or more countries, moving across oceans, being migratory, etc.",false,,,${n_extant_populations} >= 7 and ${nc_pops_exists} = 'yes',,,
integer,percent_pop7,What percentage of THIS population is in South Africa?,Please record a number between 0-100 (use whole numbers). Enter -999 if the percentage is unknown and cannot be estimated.,false,,,${transboundary_pop7} = 'yes_transboundary',,,
select_one wt5id91,whole_or_part_pop7,"Is the census size estimated for the population as a whole (i.e., across all transboundary countries) or only for the portion within South Africa?",,false,,,${transboundary_pop7} = 'yes_transboundary',,,
select_one uz6tk65,NcType_pop7,"If there is a census population size (Nc) available, is this a range or point estimate?",,true,,,${nc_pops_exists} = 'yes',,,
text,NcYear_pop7,In what year was the Nc estimated for population 7?,"Please state the year when the sampling was done, not when it was published",false,,,${NcType_pop7} != 'unknown',,,
select_one ed5dt93,NcMethod_pop7,How was Nc calculated in THIS population?,,true,,,${nc_pops_exists} = 'yes' and ${NcType_pop7} != 'unknown',,,
select_one gn04r19,NcRange_pop7,Whats the range of the Nc for population 7?,,true,,,${NcType_pop7} = 'Nc_range',,,
text,NcRangeDetails_pop7,If a more detailed range is available please enter it here.,,false,,,${NcRange_pop7} != '' or ${NcType_pop7} = 'Nc_range',,,
integer,NcPoint_pop7,"If known, what is the census population size (Nc) for population 7? (POINT ESTIMATE)",If you have a confidence interval include it in next questions.,true,,"the Nc can't be negative, and only -999 is accepted if the Nc is not avilable (NA)",${NcType_pop7} = 'Nc_point',. = -999 or . > 0,,
decimal,NcLower_pop7,"If available, which is the LOWER limit of the Nc confidence interval for population 7?","This should be the lower value of the 95% Confidence Interval. If that is unavailable, leave this question blank and please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the lower Nc limit can't be negative and has to be lower than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop7} != '',(. = -999 or . > 0) and . < ${NcPoint_pop7},,
decimal,NcUpper_pop7,"If available, which is the UPPER limit of the Nc confidence interval for population 7?","This should be the upper value of the 95% Confidence Interval. If that is unavailable, please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the upper Nc limit can't be negative and has to be larger than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop7} != '',(. = -999 or. > 0) and (. = -999 or . > ${NcPoint_pop7}),,
text,SourceNc_pop7,"Please list all relevant sources of census size information (literature reference, website link, expert consultation) for THIS population",Please separate sources using a semicolon (;),true,multiline,,${nc_pops_exists} = 'yes' and ${NcType_pop7} != 'unknown',,,
text,Comments_pop7,Any additional comments or notes regarding the information that has been provided or why it could not be for population 7?,,false,,,${n_extant_populations} >= 7,,,
end_group,,,,,,,,,,
begin_group,pop8,Population 8,,false,,,(${kobo_tabular} = 'kobo' and ${kobo_tabular} != 'tabular') or ${kobo_tabular} = '' and ${n_extant_populations} >= 8,,,
text,Name_pop8,Population 8 name,"If a name has not been assigned to this population in literature, please provide your own unique name here.",true,,,${n_extant_populations} >= 8,,,
select_one vw6md17,Origin_pop8,What is the origin of population 8?,"You can provide details in the comments section for this population, if needed.",false,,,${n_extant_populations} >= 8,,,
text,IntroductionYear_pop8,"When was the population introduced, translocated, re-introduced or re-inforced?",,false,,,${Origin_pop8} = 'introduced' or ${Origin_pop8} = 'reintroduced' or ${Origin_pop8} = 'supplemented',,,
decimal,Ne_pop8,What is the effective population size (Ne) for population 8? (POINT ESTIMATE),"If you have a confidence interval include it in next questions. If Ne is not known for this population, type -999",true,,"the Ne can't be negative, and only -999 is accepted if the Ne is not avilable (NA)",${ne_pops_exists} = 'ne_available',. = -999 or . > 0,,
decimal,NeLower_pop8,"If available, which is the lower limit of the Ne confidence interval for population 8?","If not available, type -999",false,,Ne lower bound can't be negative and has to be lower than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop8} != -999 and ${Ne_pop8} != '',(. = -999  or . > 0) and . <= ${Ne_pop8},,
decimal,NeUpper_pop8,"If available, which is the upper limit of the Ne confidence interval for population 8?","If not available, type -999. If infinite, type 999 999 999",false,,Ne upper bound can't be negative and has to be larger than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop8} != -999 and ${Ne_pop8} != '',(. = -999 or . > 0) and (. = -999 or . >= ${Ne_pop8} ),,"If the Ne estimate is infinity please use ""999,999,999"" (make sure you use 9 times the number 9)."
text,NeYear_pop8,In what year was the data used to estimate Ne collected for population 8?,"Please state the year when the sampling was done, not when it was published.",true,,,${Ne_pop8} != -999 and ${Ne_pop8} != '',,,
select_one dp0ro30,GeneticMarkers_pop8,What genetic markers were used to estimate Ne for THIS population?,,true,,,${Ne_pop8} != -999 and ${Ne_pop8} != '',,,
text,GeneticMarkersOther_pop8,"If 'Other', please explain.",,false,,,${GeneticMarkers_pop8} = 'other',,,
select_one ry7lu40,MethodNe_pop8,What method was used in calculating Ne for THIS population?,,true,,,${Ne_pop8} != -999 and ${Ne_pop8} != '',,,
text,SourceNe_pop8,Please list all relevant sources reporting on effective population size for THIS population,Please separate each source using a semicolon (;).,true,multiline,,${Ne_pop8} != -999 and ${Ne_pop8} != '',,,
select_one tw2mv60,transboundary_pop8,Is THIS population part of a transboundary population?,"Transboundary refers to its existence in one or more countries, moving across oceans, being migratory, etc.",false,,,${n_extant_populations} >= 8 and ${nc_pops_exists} = 'yes',,,
integer,percent_pop8,What percentage of THIS population is in South Africa?,Please record a number between 0-100 (use whole numbers). Enter -999 if the percentage is unknown and cannot be estimated.,false,,,${transboundary_pop8} = 'yes_transboundary',,,
select_one wt5id91,whole_or_part_pop8,"Is the census size estimated for the population as a whole (i.e., across all transboundary countries) or only for the portion within South Africa?",,false,,,${transboundary_pop8} = 'yes_transboundary',,,
select_one uz6tk65,NcType_pop8,"If there is a census population size (Nc) available, is this a range or point estimate?",,true,,,${nc_pops_exists} = 'yes',,,
text,NcYear_pop8,In what year was the Nc estimated for population 8?,"Please state the year when the sampling was done, not when it was published",false,,,${NcType_pop8} != 'unknown',,,
select_one ed5dt93,NcMethod_pop8,How was Nc calculated in THIS population?,,true,,,${nc_pops_exists} = 'yes' and ${NcType_pop8} != 'unknown',,,
select_one gn04r19,NcRange_pop8,Whats the range of the Nc for population 8?,,true,,,${NcType_pop8} = 'Nc_range',,,
text,NcRangeDetails_pop8,If a more detailed range is available please enter it here.,,false,,,${NcRange_pop8} != '' or ${NcType_pop8} = 'Nc_range',,,
integer,NcPoint_pop8,"If known, what is the census population size (Nc) for population 8? (POINT ESTIMATE)",If you have a confidence interval include it in next questions.,true,,"the Nc can't be negative, and only -999 is accepted if the Nc is not avilable (NA)",${NcType_pop8} = 'Nc_point',. = -999 or . > 0,,
decimal,NcLower_pop8,"If available, which is the LOWER limit of the Nc confidence interval for population 8?","This should be the lower value of the 95% Confidence Interval. If that is unavailable, leave this question blank and please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the lower Nc limit can't be negative and has to be lower than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop8} != '',(. = -999 or . > 0) and . < ${NcPoint_pop8},,
decimal,NcUpper_pop8,"If available, which is the UPPER limit of the Nc confidence interval for population 8?","This should be the upper value of the 95% Confidence Interval. If that is unavailable, please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the upper Nc limit can't be negative and has to be larger than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop8} != '',(. = -999 or. > 0) and (. = -999 or . > ${NcPoint_pop8}),,
text,SourceNc_pop8,"Please list all relevant sources of census size information (literature reference, website link, expert consultation) for THIS population",Please separate sources using a semicolon (;),true,multiline,,${nc_pops_exists} = 'yes' and ${NcType_pop8} != 'unknown',,,
text,Comments_pop8,Any additional comments or notes regarding the information that has been provided or why it could not be for population 8?,,false,,,${n_extant_populations} >= 8,,,
end_group,,,,,,,,,,
begin_group,pop9,Population 9,,false,,,(${kobo_tabular} = 'kobo' and ${kobo_tabular} != 'tabular') or ${kobo_tabular} = '' and ${n_extant_populations} >= 9,,,
text,Name_pop9,Population 9 name,"If a name has not been assigned to this population in literature, please provide your own unique name here.",true,,,${n_extant_populations} >= 9,,,
select_one vw6md17,Origin_pop9,What is the origin of population 9?,"You can provide details in the comments section for this population, if needed.",false,,,${n_extant_populations} >= 9,,,
text,IntroductionYear_pop9,"When was the population introduced, translocated, re-introduced or re-inforced?",,false,,,${Origin_pop9} = 'introduced' or ${Origin_pop9} = 'reintroduced' or ${Origin_pop9} = 'supplemented',,,
decimal,Ne_pop9,What is the effective population size (Ne) for population 9? (POINT ESTIMATE),"If you have a confidence interval include it in next questions. If Ne is not known for this population, type -999",true,,"the Ne can't be negative, and only -999 is accepted if the Ne is not avilable (NA)",${ne_pops_exists} = 'ne_available',. = -999 or . > 0,,
decimal,NeLower_pop9,"If available, which is the lower limit of the Ne confidence interval for population 9?","If not available, type -999",false,,Ne lower bound can't be negative and has to be lower than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop9} != -999 and ${Ne_pop9} != '',(. = -999  or . > 0) and . <= ${Ne_pop9},,
decimal,NeUpper_pop9,"If available, which is the upper limit of the Ne confidence interval for population 9?","If not available, type -999. If infinite, type 999 999 999",false,,Ne upper bound can't be negative and has to be larger than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop9} != -999 and ${Ne_pop9} != '',(. = -999 or . > 0) and (. = -999 or . >= ${Ne_pop9} ),,"If the Ne estimate is infinity please use ""999,999,999"" (make sure you use 9 times the number 9)."
text,NeYear_pop9,In what year was the data used to estimate Ne collected for population 9?,"Please state the year when the sampling was done, not when it was published.",true,,,${Ne_pop9} != -999 and ${Ne_pop9} != '',,,
select_one dp0ro30,GeneticMarkers_pop9,What genetic markers were used to estimate Ne for THIS population?,,true,,,${Ne_pop9} != -999 and ${Ne_pop9} != '',,,
text,GeneticMarkersOther_pop9,"If 'Other', please explain.",,false,,,${GeneticMarkers_pop9} = 'other',,,
select_one ry7lu40,MethodNe_pop9,What method was used in calculating Ne for THIS population?,,true,,,${Ne_pop9} != -999 and ${Ne_pop9} != '',,,
text,SourceNe_pop9,Please list all relevant sources reporting on effective population size for THIS population,Please separate each source using a semicolon (;).,true,multiline,,${Ne_pop9} != -999 and ${Ne_pop9} != '',,,
select_one tw2mv60,transboundary_pop9,Is THIS population part of a transboundary population?,"Transboundary refers to its existence in one or more countries, moving across oceans, being migratory, etc.",false,,,${n_extant_populations} >= 9 and ${nc_pops_exists} = 'yes',,,
integer,percent_pop9,What percentage of THIS population is in South Africa?,Please record a number between 0-100 (use whole numbers). Enter -999 if the percentage is unknown and cannot be estimated.,false,,,${transboundary_pop9} = 'yes_transboundary',,,
select_one wt5id91,whole_or_part_pop9,"Is the census size estimated for the population as a whole (i.e., across all transboundary countries) or only for the portion within South Africa?",,false,,,${transboundary_pop9} = 'yes_transboundary',,,
select_one uz6tk65,NcType_pop9,"If there is a census population size (Nc) available, is this a range or point estimate?",,true,,,${nc_pops_exists} = 'yes',,,
text,NcYear_pop9,In what year was the Nc estimated for population 9?,"Please state the year when the sampling was done, not when it was published",false,,,${NcType_pop9} != 'unknown',,,
select_one ed5dt93,NcMethod_pop9,How was Nc calculated in THIS population?,,true,,,${nc_pops_exists} = 'yes' and ${NcType_pop9} != 'unknown',,,
select_one gn04r19,NcRange_pop9,Whats the range of the Nc for population 9?,,true,,,${NcType_pop9} = 'Nc_range',,,
text,NcRangeDetails_pop9,If a more detailed range is available please enter it here.,,false,,,${NcRange_pop9} != '' or ${NcType_pop9} = 'Nc_range',,,
integer,NcPoint_pop9,"If known, what is the census population size (Nc) for population 9? (POINT ESTIMATE)",If you have a confidence interval include it in next questions.,true,,"the Nc can't be negative, and only -999 is accepted if the Nc is not avilable (NA)",${NcType_pop9} = 'Nc_point',. = -999 or . > 0,,
decimal,NcLower_pop9,"If available, which is the LOWER limit of the Nc confidence interval for population 9?","This should be the lower value of the 95% Confidence Interval. If that is unavailable, leave this question blank and please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the lower Nc limit can't be negative and has to be lower than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop9} != '',(. = -999 or . > 0) and . < ${NcPoint_pop9},,
decimal,NcUpper_pop9,"If available, which is the UPPER limit of the Nc confidence interval for population 9?","This should be the upper value of the 95% Confidence Interval. If that is unavailable, please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the upper Nc limit can't be negative and has to be larger than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop9} != '',(. = -999 or. > 0) and (. = -999 or . > ${NcPoint_pop9}),,
text,SourceNc_pop9,"Please list all relevant sources of census size information (literature reference, website link, expert consultation) for THIS population",Please separate sources using a semicolon (;),true,multiline,,${nc_pops_exists} = 'yes' and ${NcType_pop9} != 'unknown',,,
text,Comments_pop9,Any additional comments or notes regarding the information that has been provided or why it could not be for population 9?,,false,,,${n_extant_populations} >= 9,,,
end_group,,,,,,,,,,
begin_group,pop10,Population 10,,false,,,(${kobo_tabular} = 'kobo' and ${kobo_tabular} != 'tabular') or ${kobo_tabular} = '' and ${n_extant_populations} >= 10,,,
text,Name_pop10,Population 10 name,"If a name has not been assigned to this population in literature, please provide your own unique name here.",true,,,${n_extant_populations} >= 10,,,
select_one vw6md17,Origin_pop10,What is the origin of population 10?,"You can provide details in the comments section for this population, if needed.",false,,,${n_extant_populations} >= 10,,,
text,IntroductionYear_pop10,"When was the population introduced, translocated, re-introduced or re-inforced?",,false,,,${Origin_pop10} = 'introduced' or ${Origin_pop10} = 'reintroduced' or ${Origin_pop10} = 'supplemented',,,
decimal,Ne_pop10,What is the effective population size (Ne) for population 10? (POINT ESTIMATE),"If you have a confidence interval include it in next questions. If Ne is not known for this population, type -999",true,,"the Ne can't be negative, and only -999 is accepted if the Ne is not avilable (NA)",${ne_pops_exists} = 'ne_available',. = -999 or . > 0,,
decimal,NeLower_pop10,"If available, which is the lower limit of the Ne confidence interval for population 10?","If not available, type -999",false,,Ne lower bound can't be negative and has to be lower than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop10} != -999 and ${Ne_pop10} != '',(. = -999  or . > 0) and . <= ${Ne_pop10},,
decimal,NeUpper_pop10,"If available, which is the upper limit of the Ne confidence interval for population 10?","If not available, type -999. If infinite, type 999 999 999",false,,Ne upper bound can't be negative and has to be larger than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop10} != -999 and ${Ne_pop10} != '',(. = -999 or . > 0) and (. = -999 or . >= ${Ne_pop10} ),,"If the Ne estimate is infinity please use ""999,999,999"" (make sure you use 9 times the number 9)."
text,NeYear_pop10,In what year was the data used to estimate Ne collected for population 10?,"Please state the year when the sampling was done, not when it was published.",true,,,${Ne_pop10} != -999 and ${Ne_pop10} != '',,,
select_one dp0ro30,GeneticMarkers_pop10,What genetic markers were used to estimate Ne for THIS population?,,true,,,${Ne_pop10} != -999 and ${Ne_pop10} != '',,,
text,GeneticMarkersOther_pop10,"If 'Other', please explain.",,false,,,${GeneticMarkers_pop10} = 'other',,,
select_one ry7lu40,MethodNe_pop10,What method was used in calculating Ne for THIS population?,,true,,,${Ne_pop10} != -999 and ${Ne_pop10} != '',,,
text,SourceNe_pop10,Please list all relevant sources reporting on effective population size for THIS population,Please separate each source using a semicolon (;).,true,multiline,,${Ne_pop10} != -999 and ${Ne_pop10} != '',,,
select_one tw2mv60,transboundary_pop10,Is THIS population part of a transboundary population?,"Transboundary refers to its existence in one or more countries, moving across oceans, being migratory, etc.",false,,,${n_extant_populations} >= 10 and ${nc_pops_exists} = 'yes',,,
integer,percent_pop10,What percentage of THIS population is in South Africa?,Please record a number between 0-100 (use whole numbers). Enter -999 if the percentage is unknown and cannot be estimated.,false,,,${transboundary_pop10} = 'yes_transboundary',,,
select_one wt5id91,whole_or_part_pop10,"Is the census size estimated for the population as a whole (i.e., across all transboundary countries) or only for the portion within South Africa?",,false,,,${transboundary_pop10} = 'yes_transboundary',,,
select_one uz6tk65,NcType_pop10,"If there is a census population size (Nc) available, is this a range or point estimate?",,true,,,${nc_pops_exists} = 'yes',,,
text,NcYear_pop10,In what year was the Nc estimated for population 10?,"Please state the year when the sampling was done, not when it was published",false,,,${NcType_pop10} != 'unknown',,,
select_one ed5dt93,NcMethod_pop10,How was Nc calculated in THIS population?,,true,,,${nc_pops_exists} = 'yes' and ${NcType_pop10} != 'unknown',,,
select_one gn04r19,NcRange_pop10,Whats the range of the Nc for population 10?,,true,,,${NcType_pop10} = 'Nc_range',,,
text,NcRangeDetails_pop10,If a more detailed range is available please enter it here.,,false,,,${NcRange_pop10} != '' or ${NcType_pop10} = 'Nc_range',,,
integer,NcPoint_pop10,"If known, what is the census population size (Nc) for population 10? (POINT ESTIMATE)",If you have a confidence interval include it in next questions.,true,,"the Nc can't be negative, and only -999 is accepted if the Nc is not avilable (NA)",${NcType_pop10} = 'Nc_point',. = -999 or . > 0,,
decimal,NcLower_pop10,"If available, which is the LOWER limit of the Nc confidence interval for population 10?","This should be the lower value of the 95% Confidence Interval. If that is unavailable, leave this question blank and please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the lower Nc limit can't be negative and has to be lower than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop10} != '',(. = -999 or . > 0) and . < ${NcPoint_pop10},,
decimal,NcUpper_pop10,"If available, which is the UPPER limit of the Nc confidence interval for population 10?","This should be the upper value of the 95% Confidence Interval. If that is unavailable, please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the upper Nc limit can't be negative and has to be larger than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop10} != '',(. = -999 or. > 0) and (. = -999 or . > ${NcPoint_pop10}),,
text,SourceNc_pop10,"Please list all relevant sources of census size information (literature reference, website link, expert consultation) for THIS population",Please separate sources using a semicolon (;),true,multiline,,${nc_pops_exists} = 'yes' and ${NcType_pop10} != 'unknown',,,
text,Comments_pop10,Any additional comments or notes regarding the information that has been provided or why it could not be for population 10?,,false,,,${n_extant_populations} >= 10,,,
end_group,,,,,,,,,,
begin_group,pop11,Population 11,,false,,,(${kobo_tabular} = 'kobo' and ${kobo_tabular} != 'tabular') or ${kobo_tabular} = '' and ${n_extant_populations} >= 11,,,
text,Name_pop11,Population 11 name,"If a name has not been assigned to this population in literature, please provide your own unique name here.",true,,,${n_extant_populations} >= 11,,,
select_one vw6md17,Origin_pop11,What is the origin of population 11?,"You can provide details in the comments section for this population, if needed.",false,,,${n_extant_populations} >= 11,,,
text,IntroductionYear_pop11,"When was the population introduced, translocated, re-introduced or re-inforced?",,false,,,${Origin_pop11} = 'introduced' or ${Origin_pop11} = 'reintroduced' or ${Origin_pop11} = 'supplemented',,,
