type,name,label::English (en),hint::English (en),required,appearance,constraint_message,relevant,constraint,body::accept,guidance_hint
file,map_populations,"If a map illustrating the extant populations exists, please upload it here, ensuring that each population is clearly marked. If only partial information on populations is available, it is highly recommended that assessors denote this information on the map(s) by indicating which populations are being assessed.","A multipage document (eg pdf) can be included to ""zoom in"" into different populations, if required. Accepted files: pdf, png, jpg. Please be reasonable with file size.",false,,,,,""".pdf,.png,.jpg,.docx""",
text,source_populations,"Source of species population information (literature reference, website link, expert consultation)","Please list all relevant sources used in acquiring the species information separated by a semicolon (;). It is advised that all referenced documents are saved to a species specific folder in your personal records in case further consultation is required. If information was based on expert consultation, please provide name of expert(s).",true,multiline,,,,,
select_one xo5ha15,diff_historical_pop,Do the number of HISTORICAL populations differ than what is currently EXTANT?,,false,,,,,,
integer,n_hist_pops,"If yes, how many existed historically?","An integer count (e.g., 1, 2) must be reported. ",false,,,${diff_historical_pop} = 'yes',,,
end_group,,,,,,,,,,
begin_group,section4,Section 4: Preface to the Ne 500 indicator,,false,,,,,,
note,note_section4,"**These next questions will help quantify what population size data exists for populations of the species, and in doing so filter out unnecessary questions in Section 5. See guidelines for advice on [How to estimate population sizes (Nc or Ne)](https://ccgenetics.github.io/guidelines-genetic-diversity-indicators/docs/3\_Howto\_guides\_examples/Populations\_sizes.html) **",,false,,,,,,
note,note_section4b,"In the following question ‘ANY DATA’ not only refers to quantitative data, but also qualitative and approximate/ imprecise data, or even an ability to confidently say the population is < Nc 5000. All data on population size can be useful and interpretable, even if only available for some populations.",,false,,,,,,
select_one pu5zg43,popsize_data,"Is there any data on population sizes (e.g. Ne, Nc) for at least ONE POPULATION for this species?",,true,,,,,,
select_one kv5nv31,ne_pops_exists,Effective Size - Are there effective size estimates (Ne) from genetic data for at least one of the extant populations?,See guidelines for [definition of Ne and how to obtain it](https://ccgenetics.github.io/guidelines-genetic-diversity-indicators/docs/3\_Howto\_guides\_examples/Populations\_sizes.html#how-to-get-ne-from-genetic-studies),true,,,${popsize_data} = 'yes',,,
select_one pd3az16,nc_pops_exists,Census Size - Are there census size estimates (Nc) for at least one of the extant populations?,See guidelines for [definition of Nc and how to obtain it](https://ccgenetics.github.io/guidelines-genetic-diversity-indicators/docs/3\_Howto\_guides\_examples/Populations\_sizes.html#how-to-get-the-nc),true,,,${popsize_data} = 'yes',,,
